job_link,job_summary
https://www.linkedin.com/jobs/view/business-analyst-purchase-ny-w2-contract-without-benefits-at-kellton-3793672107,"Title: Business Analyst I
Location: Purchase, NY
Pay Rate: $ 22 / HR (W2 Contract without Benefits)
Description
This assignment is fully on-site. *
Top Skills
Attention to detail, communication, collaboration
Role
The PMCC Individual Prospecting Temporary Hire will support the team by executing connectivity/IPO account verification to determine existing accounts or relationships with key companies.
They will also be responsible for helping to create individual and company profiles.
The Person's Specific Responsibilities Will Include
0-3 years' experience.
Strong written and internet research abilities, the ability to work effectively on a team, outstanding communication and interpersonal skills (both written and oral).
An ability to understand and interpret numeric data, demonstrated leadership skills, a strong desire and commitment to understand the global wealth management business.
Show more
Show less"
https://www.linkedin.com/jobs/view/business-analyst-at-pansophic-learning-3778456181,"About The Opportunity
“We believe that every child should be able to be anything they want in life, regardless of their birthplace and circumstances.” – Ron Packard, CEO & Founder
Pansophic Learning is an education company that strives to provide students and educators exceptional learning solutions that enable them to maximize their success academically and in life, regardless of geographic, financial, or demographic circumstance. These learning solutions include high quality content, technology, teaching and exceptional schools.
The Business Analyst works within the Product & Technology department. They are responsible for evaluating how our business partners engage successfully with our products and services enabling a bridge between business needs and product solutions. The Business Analyst plays a key role in evaluating existing business processes, defining requirements for process improvements, and driving change across people, process and tools through implementation, training, and rollout.
As a Business Analyst supporting Pansophic Learning, you will be expected to build close trusting relationships with the business-line leaders and operations team members to provide updates to projects and thoughtful problem resolution. He or she will serve as a facilitating liaison between our business partners, customers, and the Product & Technology department.
Elicits, analyzes, specifies, and validates the business needs of stakeholders, be they customers or end users.
Collaborates with project sponsors to determine project scope and vision.
Clearly identifies project stakeholders and establish customer segments, as well as their characteristics.
Conducts interviews to gather customer requirements via workshops, questionnaires, surveys, site visits, workflow storyboards, use cases, scenarios, and other methods.
Identifies and establishes scope and parameters of requirements analysis on a project-by-project basis to define project impact, outcome criteria, and metrics.
Works with stakeholders and project team to prioritize collected requirements.
Researches, reviews, and analyzes the effectiveness and efficiency of existing requirements-gathering processes and develop strategies for enhancing or further leveraging these processes.
Assists in conducting research on products to meet agreed upon requirements and to support purchasing efforts.
Participates in the QA of purchased solutions to ensure features and functions have been enabled and optimized.
Participates in the selection of any requirements documentation software solutions that the organization may opt to use.
Analyzes and verifies requirements for completeness, consistency, comprehensibility, feasibility, and conformity to standards.
Develops and utilizes standard templates to accurately and concisely write requirements specifications.
Translates conceptual customer requirements into functional requirements in a clear manner that is comprehensible to developers/project team.
Creates process models, specifications, diagrams, and charts to provide direction to developers and/or the project team.
Develops and conduct peer reviews of the business requirements to ensure that requirement specifications are correctly interpreted.
Assists with the interpretation of customer requirements into feasible options, and communicating these back to the business stakeholders.
Manages and tracks the status of requirements throughout the project lifecycle; enforce and redefine as necessary.
Communicates changes, enhancements, and modifications of business requirements — verbally or through written documentation — to project managers, sponsors, and other stakeholders so that issues and solutions are understood.
About You:
Able to exercise independent judgment and take action on it
Excellent analytical, mathematical, and creative problem-solving skills
Excellent listening, interpersonal, written, and oral communication skills
Logical and efficient, with keen attention to detail
Highly self-motivated and directed
Ability to effectively prioritize and execute tasks while under pressure
Strong customer service orientation
Experience working in a team-oriented, collaborative environment
Our Benefits:
Life benefits – time & peace of mind
Paid time off
Retirement contributions
Optional Basic Life and AD&D insurance
Voluntary life insurance (employee, spouse, child)
Discounted childcare at Early Learning Academies locations
Health benefits – stay well & thrive
Medical, dental, and vision insurance
Employee Assistance Program
Voluntary short-term disability insurance
Voluntary long-term disability insurance
Career benefits – keep growing
Career advancement opportunities throughout Pansophic Learning and our strong network of 4,000+ instructors and education professionals
EQUAL EMPLOYMENT OPPORTUNITY
It is our policy to abide by all federal, state and local laws prohibiting employment discrimination based solely on a person’s race, color, religious creed, sex, national origin, ancestry, citizenship status, pregnancy, childbirth, physical disability, mental and/or intellectual disability, age, military status, veteran status (including protected veterans), marital status, registered domestic partner or civil union status, familial status, gender (including sex stereotyping and gender identity or expression), medical condition, genetic information, sexual orientation, or any other protected status except where a reasonable, bona fide occupational qualification exists.
#INDCP
Show more
Show less"
https://au.linkedin.com/jobs/view/iam-business-analyst-permanent-sydney-at-hastha-solutions-3787329996,"Urgent requirement of
IAM Business Analyst - Permanent - Sydney
Requirements
Business Analysis for SaaS products - ideally in identity governance such as Saviynt or SailPoint
Identity (IAM/IGA/AD and Azure AD/SSO and federation)concepts understanding
Experience on requirements gathering/analysis by working with application teams to onboard their applications into an IGA (Identity governance) system
Development and execution of IGA Testing plans
Creates process models, specifications, diagrams, and charts to provide direction to developers and/or the project team
Creates ad-hoc and scheduled executive-level reports as required
Proven experience with business and technical requirements analysis, elicitation, modelling, verification, and methodology development in the Identity and Access Management space, including the Identity Governance area
Experience in information security concepts and applying them at scale
Experience in onboarding diverse applications into an IGA solution including provisioning, deprovisioning, granting of entitlements, and user access reviews is required
Experience with identity automation using ServiceNow workflows
Very Good Communication Skills
Eligibility:
Australian/NZ Citizens/PR Holders only
Email: jobs@hasthasolutions.com
Show more
Show less"
https://au.linkedin.com/jobs/view/business-analyst-at-aris%E2%80%A2zinc-group-3799257947,"3 months plus extensions
Based in Darwin, NT
Must be an Australian Permanent Resident or Australian Citizen to be eligible
We are looking for Business Analysts for our government client in Darwin locations.
Desirable Skills and Experience:
Demonstrated extensive experience as a Business Analyst, including experience gathering and documenting business requirements, and undertaking ‘as is’ and ‘to be’ gap and process analysis.
Demonstrated experience working on a large program under tight timeframes, balancing competing priorities, undertaking business analysis activities, developing deliverables, producing process maps and other process collateral.
Demonstrated experience working as a Business Analyst at all stages throughout the project lifecycle.
Demonstrated experience working as a Business Analyst in a complex environment with numerous organisational entities and stakeholders.
Demonstrated strong stakeholder relationship management skills.
Experience working with high performing teams with high priority deliverables.
Highly skilled in the use of Microsoft Visio and the usual office tools such as Windows, Word, Excel, PowerPoint and Microsoft Outlook (e-mail); and
Demonstrated work ethic and attitude which emulates the Department of Corporate and Digital Development (DCDD) values of being professional, accountable, honest, respectful and innovative.
Personal Qualities required of Candidate:
Highly developed interpersonal skills - including negotiation, mediation and conflict resolution with the proven ability to influence others to achieve goals and objectives.
An objective analytical mind – to analyse actions, records and activities and provide constructive input into improvement activities.
Excellent time management and documentation skills – both from a personal management perspective and recording meetings and output activities.
Demonstrated ability to coordinate and facilitate meetings – organising, supporting the Chair and documenting meetings and ensuring that actions are followed up on after the meeting.
Strong personal drive and a high degree of professional integrity – excellent problem solver and critical thinker who is able to synthesize information in order to make and successfully implement effective decisions.
Self-discipline and resilience – maintains a consistent and sensible pattern of behaviour under pressure; proactive and persistent approach to achieving goals; copes effectively with setbacks, accepts constructive feedback in an objective manner without becoming defensive.
Excellent communication skills – an ability to communicate with different stakeholder groups at all levels within the organisation.
Please contact Nikhita Verma on 0482 097 658 or nikhita.v@ariszinc.com.au for further discussions.
ARIS•ZINC offers an end-to-end service approach with unique combination of expertise in recruiting, IT consulting and payroll services in the Canberra, Sydney and Brisbane markets. We champion people first, empowering them to take charge of their own aspirations and professional futures.
ARIS•ZINC encourages diversity and welcomes applications from Indigenous Australians, people from a diverse range of backgrounds, including people living with a disability.
Show more
Show less"
https://www.linkedin.com/jobs/view/sr-business-analyst-at-capleo-global-3798578832,"Role: Sr. Business Analyst
Locations: Irving, TX
Fulltime Opportunity
We are looking for a candidate with a banking background with 8 -9 years experience, basically a Sr BA who can work with Product Owners and help them with user stories, scrum and co-ordinating with other team. The account opening knowledge is nice to have.
Key Responsibilities
Analyze business requirements to understand the business needs and determine system/application design to best meet those needs
Combine knowledge of what the business wants with knowledge of current-state system design to groom technical stories/specifications for the target-state
Serve as the primary liaison between the Business, Architecture, Development and Testing teams throughout the project life cycle
Strategize with the business for the optimization of system processes; identify efficiencies and ways to improve BAU design and system flow
Identify, assess, and document business requirements and functional/technical specifications; recommending business priorities, and advising business on options, risks, and costs
Schedule and lead requirements review & design sessions with stakeholders; gather testable system requirements and translate them into user stories
Analyze impact of proposed solution across the business and develop use cases to demonstrate the business requirements to the technology teams
Qualifications
Minimum 8-9 years of hands-on experience as Business Analyst, Business Systems Analyst, System Analyst or Technical Analyst, with emphasis on technology and end-to-end implementation
Prior experience in banking /financial institutions.
Excellent verbal and written skills are critical since this job primarily entails communicating information to both technical and non-technical audiences
Experience working with software or web technology teams; with experience developing specifications for Web Service and Database layers
Experience with software development methodologies and practices (SDLC, Agile, Scrum, Waterfall, etc.)
Strong interpersonal skills to manage relationships with a variety of partners and stakeholders
Application development/programming experience
Business domain knowledge of investment products & experience with analyzing and implementing digital wealth management solutions
Knowledge of JIRA and Confluence (or similar tools) is a plus
Show more
Show less"
https://www.linkedin.com/jobs/view/senior-business-analyst-hybrid-remote-at-tandym-group-3763997462,"An education tech company in Virginia is currently seeking an experienced Business Analyst for a promising Senior-level position with their growing staff.
***This is a Hybrid opportunity requiring the qualified professional to work onsite. However, Remote opportunities will be considered for the right candidate!***
Responsibilities
The Senior Business Analyst will:
Developing, documenting, and championing multi-year operational process management & optimization strategy and contribute to multi-year architecture roadmaps
Providing subject matter expertise to the various technology teams including communicating decisions and best practices to other technical staff around the various development technologies and decisions
Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions
Identifying core common information shared across the enterprise and participate in enterprise wide efforts to reach common understanding of that information
Serving as an expert to define and maintain the architectural frameworks/patterns, processes, standards, and guidelines related to systems, business or data architecture
Developing process guidelines, standards and hierarchies as well as maintain process repositories
Leading ongoing reviews of business processes and developing optimization strategies
Staying up-to-date on the latest process and IT advancements to automate and modernize systems
Conducting meetings and presentations to share ideas and findings
Performing requirements analysis. Documenting and communicating the results of your efforts
Monitoring deliverables and ensuring timely completion of projects
Performing other duties, as needed
Qualifications:
5+ years of experience in Business Analyst and/or a related field
Bachelor's Degree
Computer savvy
Microsoft Office proficient (Excel, Outlook, Word, etc.)
Solid analytical, documentation, problem solving and time management skills
Great interpersonal skills
Excellent communication skills (written and verbal)
Strong attention to detail
Highly organized
Show more
Show less"
https://www.linkedin.com/jobs/view/senior-business-analyst-transformation-and-analytics-supply-chain-pvh-corp-at-pvh-corp-3768498898,"POSITION TITLE: Senior Business Analyst, Transformation and Analytics Team
POSITION REPORTS TO (TITLE):
Director, Supply Chain PMO
POSITION LOCATION:
285 Madison Ave
Position Summary
Be a part of PVH Supply Chain Analytics! This Transformation & Analytics team is passionate about powering a world-class, data-driven Supply Chain through exceptional data & analytics, driving impactful business decisions and insights. Supply Chain Data & Analytics play a critical role in unlocking transformational outcomes within our supply chain.
The Transformation and Analytics Team is a lean team within the corporate Supply Chain and is responsible for managing Data & Analytics, Tech Strategy and PMO/Project Management needs of the PVH Global Supply Chain. The goal of the PMO function is to outline PMO framework and Methodology and leverage it to define, execute and manage initiatives to help achieve strategic goals of PVH Supply Chain.
The Senior Business Analyst role will be responsible for working closely with teams and stakeholders across PVH supply chain to define and gather business requirements for the global data and analytics platform. This individual will be responsible for translating business needs into functional requirements and work with product & engineering teams to deliver technical solutions aligned with business needs. The Senior Business Analyst will partner closely with product managers, product owners and product/technical teams to deliver product increments that include vital User Acceptance Testing (UAT), training, demos, and rollout of product solutions.
Primary Responsibilities/Accountabilities
Requirements & Product Roadmap
Partner with Product Owner and Product managers to understand product roadmap and vision and translate them into tangible requirements.
Responsible for collaborating with business teams and stakeholders to gather and document business/functional requirements with clarity and completeness that minimizes later rework.
Responsible for collaborating with business teams and stakeholders to capture and document Business process definition (both current and future state) for things owned by Global Supply.
Responsible for translating business/functional requirements into wireframes and functional specifications.
Bring structure to business requests and problems by breaking them down into business needs, what questions are being answered and how the solution ultimately solves that problem.
Leverage data and analysis techniques to solve business problems, drive value, and gain insight from information in a scalable, reproducible, and automated manner.
Translates requirements into an analytical product approach.
Functional & Business User Testing
Review and provide feedback to engineering teams on functional test scripts/scenarios.
Actively collaborate with engineering teams to validate solution(s) throughout each sprint and ensure they meet the business requirements.
Participate in end-of-sprint demos in partnership with product owner and product manager; facilitate and collate business feedback during the demos.
Coordinate with product owner, business stakeholders and end users on user acceptance testing strategy, planning, execution and tracking.
End To End Delivery Of Advanced Analytic Solutions
Understands and can contribute to discussions with business on analyses of large datasets (both structured and unstructured) to surface trends and insights using advanced analytics methods.
Prepares and delivers visualizations and internal presentations that translate analytic capabilities into tangible, actionable solutions for business partners to implement.
Liaison for systems related issues, requests, etc.
Communicate and work across business, product and engineering on all issues and needs.
Craft and deliver presentations on new capabilities and enhancements to assigned platforms.
INTERNAL & EXTERNAL CONTACTS
Internal Contacts
Regional and corporate teams located in the US, Europe, Hong Kong and India
Supply leadership & direct report teams, PVH Technology team, Corporate Responsibility team
External Contacts
Third party partners and service providers, as needed
DECISION MAKING
Provide recommendations and help teams to make decisions in a timely manner and escalate when necessary.
Utilize good communication and tactical skills to drive effective and efficient execution of projects.
Prioritize work and escalate issues as needed to meet timelines with high levels of quality.
RESOURCEFULNESS/CREATIVITY
Ability to build good working relationships; collaborates toward deadlines and deliverables.
Uses creativity in communication to clearly articulate written and visual messages; includes creative usage of Power Point to convey messages.
Trusted and respected resource as the “connector” to keep project teams on track.
Self-starter with a curious mind who proactively seeks out resources needed to be successful.
Ability to engage externally with industry groups and partners and represent PVH.
Environment
Ability to work in a fast-paced, team-oriented setting with peers who are energized about building the future together.
Ability to work on multiple initiatives and adapt to evolving priorities with ease.
Ability to interface with stakeholders across multiple countries and cultures.
CORE VALUES
Embrace PVH's core values: Individuality, Partnership, Passion, Integrity, and Accountability.
Qualifications & Experience
Education & Experience:
University Degree
3-5 years’ experience working in a business analysis role.
3-5 years of business analysis experience in Fashion, Retail or CPG industries is preferred.
Experience in building strategic, impactful, business-driven insights from data.
Experience working in cross-functional teams delivering consumer analytics solutions or digital products using Agile methodologies.
Experience writing detailed user stories and creating and maintaining a product backlog.
Ability to work with & understand raw data, knowledge of preprocessing procedures and ability to prepare data for modeling.
Previous experience implementing data and advanced analytics platforms, capabilities & solutions.
Experience dealing with multiple stakeholders and balancing priorities against competing interests.
Familiarity/Experience with Project management tools such as Jira, Smartsheet, preferable.
Experience with data visualization software such as MicroStrategy, Power BI, Tableau etc., preferable.
Skills Required
Strong analytical and problem-solving skills.
Excellent written and verbal communications skills, and presentation skills (Powerpoint) – communicates effectively and at the right level based on the audience.
Cross functional coordination – coordinates input and participation from diverse set of business stakeholders.
Business Relationships – grows and strengthens relationships with business partners.
Knowledge of Agile process and principles as well as Waterfall project management.
Goal oriented and self-motivated within a collaborative team environment.
Demonstrated ability to understand and discuss technical concepts.
Agile methodology certifications, preferable.
#hybrid
Pay Range: $90,000 - $110,000
PVH currently provides base salary ranges for all positions-on job advertisements-in the United States based on local requirements. These ranges are based on what PVH reasonably believes that it will pay an associate for their base salary for said position at the time of the posting. Individual compensation will ultimately be determined based on a variety of relevant factors including but-not limited to qualifications, geographic location and other relevant skills. PVH is committed to providing a market-competitive total rewards package to eligible associates, which includes diverse and robust health and insurance benefits to meet the varied needs of our associates and an above-market 401(k) contribution to help our associates save for retirement. We also offer career growth opportunities, empowering our associates to design their future at PVH.
PVH Corp. or its subsidiary (""PVH"") is an equal opportunity employer and considers all applicants for employment on the basis of their individual capabilities and qualifications, consistent with applicable law and without regard to race, color, sex, gender identity or expression, age, religion, creed, national origin, citizenship status, sexual orientation, genetic information, physical or mental disability, military status or any other characteristic protected under federal, state or local law. In addition to complying with all applicable laws, PVH also has a strong corporate commitment to inclusion, diversity and to ensuring that all current and future PVH associates are compensated solely on job-related factors such as skill, ability, educational background, work quality, experience and potential. To achieve these goals, across the United States and its territories, PVH prohibits any PVH employee, agent or representative from requesting or otherwise considering any job applicant’s current or prior wages, salary or other compensation information in connection with the hiring process. Accordingly, applicants are asked not to disclose this salary history information to PVH
Show more
Show less"
https://au.linkedin.com/jobs/view/senior-digital-business-analyst-at-talent-3761567160,"Fixed Term Opportunity: 12 Months
Must be an Australian Citizen (Mandatory)
Proven Experience in developing Business Analysis Centre of Excellence
Our Client
Our client is a government-owned organisation responsible for providing services which are essential to the nation’s safety and economic security. They are committed to the continual improvement of their services by becoming leaner, more efficient and more responsive to the changing needs of their customers.
About The Role
We are looking for an experienced, cross-functional,
‘Senior Digital Business Analyst’
you will provide comprehensive and meaningful information, analysis and reporting to assist our client in achieving its strategic, financial, operational, and commercial objectives
Our ideal candidate will act as pillar of strength and help lay down the foundation for the adoption of new project methodologies and ways of working for our client, as well as initiating and being part of the Centre of excellence for business analysis across the delivery portfolio.
The platform these implementations will be showcased on would be on SAP S4/HANNA under our client’s ‘SAP Cloud & Workforce Rostering Project’. The ideal candidate would be part of large end-to-end implementation aimed towards uplifting our client’s efficiency and operational capability for their existing front-line workforce.
The program is benefits led and seeks to realise benefits using digital solutions and leading technologies, including a new digital rostering solution (Workforce) and SAP Cloud (S4/HANA for finance and asset management, Ariba for procurement, SuccessFactors for HR), as well as process improvements to remove inefficiencies, increase standardisation and increase flexibility in our support services approach
Key Responsibilities Of The Position
Multi-year strong experience working in business process analysis in large business transformation programs/projects.
Experience in documenting requirements from user to functional/nonfunctional level, including as-is to to-be process mapping.
Experience and in-depth knowledge of various software development methodologies, including waterfall and agile.
Experience in preparing requirements as part of statement of works for commercial purposes (procurement and contract).
Other Skills & Experience
Demonstrated strong experience in SAP project delivery successfully delivering enabling services business benefits and outcomes is highly desirable.
Experience in working with a group of Business Process Analysts and leading by example.
Strong understanding of business architecture concepts, processes, and principles
Experience with frameworks such as Six Sigma, Lean Management, PMBOK, PRINCE2, P3M3, Prosci, ITIL and BABOK.
Experience in developing Business Process Centre of Excellence, integrating it into the business delivery services, and overseeing its continued operation.
Applications
If you are an experienced and dynamic
‘
Senior
Digital Business Analyst,’
who is passionate about high quality solutions and implementations and wants to be part of a great team, we would love to hear from you!
‘APPLY for this opportunity, For further information, please contact Sanat Anmadwar on 02 6129 6326 or email Sanat.Anmadwar@talentinternational.com and help uplift our client’s technical capability.
Show more
Show less"
https://www.linkedin.com/jobs/view/oracle-business-analyst-at-dice-3805515834,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Bayforce, is seeking the following. Apply via Dice today!
Role Title:
Sr. Oracle Business Analyst
Service Line:
Perm
Benefits:
Competitive pay and benefits
Flexible Work Schedule
Employee Stock Purchase Plan
Training & Development Opportunities
401K Match w/ 2-year vesting period
Medical, Dental & Vision Plans
Paid Time Off & Holidays
Tuition Assistance
Wellness & Fitness Resources
Dynamic Culture & People - just to name a few!
Preferred Location:
Akron- 3 days on-site, first 120 days will be on-site for training
Role Description:
This client is looking for a Senior Business Applications Analyst to collect business requirements, assess needs, and create functional specifications to ensure that IT solutions align with business goals. The role involves handling Oracle application configurations, implementations, and maintenance, along with identifying and implementing process improvements.
Lead projects for business applications and convey requirements to development teams using documentation.
Manage and enhance Oracle EBS modules like Manufacturing, Inventory Management, Order Management, BOM, WIP, and Quality Management.
Collaborate with developers, quality assurance teams, and users to test processes and ensure functionality and user approval. May create user documentation or training materials.
Analyze systems to study business procedures and identify ways to improve efficiency. Use this analysis to decide whether to build or buy software solutions.
Ensure manufacturing processes align with industry standards, regulations, and quality protocols; support audits as needed.
Lead or join Oracle EBS projects for manufacturing operations, ensuring timely delivery and successful implementation.
Understand the impact of application requests and provide system guidance.
Translate business needs into application solutions.
Lead project management, delivering projects on time and within budget.
Utilize advanced techniques to analyze and understand multiple applications for measurable business value.
Provide guidance on new and existing software technologies relevant to business needs.
Consult business operations to identify information delivery and data analytics strategies.
Perform specialized functions in a multi-application landscape (execution, installations, technical configuration, etc.).
Requirements:
Over 8 years of Information Technology experience.
Worked in applications roles for over 4 years, with at least 2 years as a Business Applications Analyst.
Holds a Bachelor's degree in computer science, Information Systems, Business Administration, or related field; additional certifications (e.g., Oracle EBS Certification) are advantageous.
Possesses solid project management and ERP functional skills, particularly in financial and/or manufacturing modules.
Proficient in configuring and customizing Oracle EBS Manufacturing modules; familiar with related tools and technologies (e.g., BOM, WIP, Inventory Management).
Has a strong grasp of manufacturing processes, supply chain management, and inventory control principles.
Preference for experience in an industrial/manufacturing company. Willing to travel up to 25%.
Show more
Show less"
https://www.linkedin.com/jobs/view/business-analyst-quality-analyst-at-jefferies-3781909428,"Job Description
Drive the design, planning, and implementation of multifaceted applications, giving you breadth and depth of knowledge across the entire project lifecycle. Combine your technical expertise and problem-solving passion to work closely with clients, turning complex ideas into end-to-end solutions that transform our clients’ business. Constantly innovate and evaluate emerging technologies and methods to provide scalable and elegant solutions that help clients achieve their business goal
Your Skills & Experience:
Significant software development experience with expertise in Java 8 and above
Experience with Multi-threading, Collections, and concurrent API
Experience writing high-quality code with fully automated unit test coverage (Junit)
Experience defining and applying design/coding standards, patterns, and quality metrics depending on the solution
Working experience with various CI/CD systems and build tools (ant, maven, Teamcity, bamboo etc.)
Working experience with data platforms (SQL) and messaging technologies
Working experience with MVC frameworks like Spring, etc.
Working experience with web-services and APIs (REST, SOAP)
Working experience with public cloud technologies (Azure, AWS) such as AWS Lamba, S3 etc.
Working experience with modern Database technologies such as Snowflake etc.
Excellent OOPs, data structure, and algorithm knowledge
Working experience with LINUX/UNIX environment and shell scripts
Knowledge in one or more front-end development technologies like Angular js, Node js, etc.,
Knowledge & experience in microservices and automated integration testing
Working experience creating high performing applications, including profiling, and tuning to improve performance
Understanding working with Trade and Transaction reporting is a strong plus
Understanding & experience in API management
The salary range for this role is $140,000-$160,000.
About Us
Jefferies Financial Group Inc. (‘‘Jefferies,’’ ‘‘we,’’ ‘‘us’’ or ‘‘our’’) is a U.S.-headquartered global full service, integrated investment banking and securities firm. Our largest subsidiary, Jefferies LLC, a U.S. broker-dealer, was founded in the U.S. in 1962 and our first international operating subsidiary, Jefferies International Limited, a U.K. broker-dealer, was established in the U.K. in 1986. Our strategy focuses on continuing to build out our investment banking effort, enhancing our capital markets businesses and further developing our Leucadia Asset Management alternative asset management platform. We offer deep sector expertise across a full range of products and services in investment banking, equities, fixed income, asset and wealth management in the Americas, Europe and the Middle East and Asia.
At Jefferies, we believe that diversity fosters creativity, innovation and thought leadership through the infusion of new ideas and perspectives. We have made a commitment to building a culture that provides opportunities for all employees regardless of our differences and supports a workforce that is reflective of the communities where we work and live. As a result, we are able to pool our collective insights and intelligence to provide fresh and innovative thinking for our clients.
Jefferies is an equal employment opportunity employer, and takes affirmative action to ensure that all qualified applicants will receive consideration for employment without regard to race, creed, color, national origin, ancestry, religion, gender, pregnancy, age, physical or mental disability, marital status, sexual orientation, gender identity or expression, veteran or military status, genetic information, reproductive health decisions, or any other factor protected by applicable law. We are committed to hiring the most qualified applicants and complying with all federal, state, and local equal employment opportunity laws. As part of this commitment, Jefferies will extend reasonable accommodations to individuals with disabilities, as required by applicable law.
All employees must follow Jefferies’ COVID-19 protocol policy , which is subject to change.
Show more
Show less"
