job_link,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type
https://www.linkedin.com/jobs/view/secret-cleared-business-analyst-at-latitude-inc-3787725881,2024-01-20 04:02:10.555393+00,t,t,f,Secret cleared Business Analyst,Latitude Inc,"Crystal City, VA",2024-01-13,Virginia,United States,Quality Assurance Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-11076-1-at-raps-consulting-inc-3794678844,2024-01-21 07:12:54.937043+00,t,t,f,Business Analyst (11076-1),RAPS Consulting Inc,"Columbia, SC",2024-01-14,Columbia,United States,Consultant Education,Mid senior,Onsite
https://www.linkedin.com/jobs/view/payment-swift-business-analyst-at-resource-consultings-services-inc-3802412719,2024-01-19 09:45:09.215838+00,f,f,f,Payment (Swift) (Business Analyst),Resource Consultings Services Inc,"Lake Mary, FL",2024-01-16,Avondale,United States,Instructor Business Education,Mid senior,Onsite
https://www.linkedin.com/jobs/view/principal-business-analyst-at-nextera-energy-services-3782348472,2024-01-21 07:14:05.764432+00,t,t,f,Principal Business Analyst,NextEra Energy Services,"Riviera Beach, FL",2024-01-14,Palm Springs,United States,Management Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-at-metric5-3799945816,2024-01-19 09:45:09.215838+00,f,f,f,Business Analyst,Metric5,"Washington, DC",2024-01-16,Silver Spring,United States,Instructor Modeling,Mid senior,Onsite
https://www.linkedin.com/jobs/view/salesforce-business-analyst-at-treys-pte-ltd-3772931925,2024-01-21 07:14:35.589417+00,t,t,f,SalesForce Business Analyst,Treys Pte. Ltd.,"Washington, DC",2024-01-17,Clinton,United States,User Support Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/pricing-transparency-analyst-ctrax-senior-business-analyst-at-cerecore-3794070017,2024-01-20 15:31:23.342883+00,t,t,f,Pricing Transparency Analyst/CTrax Senior Business Analyst,CereCore,"Brentwood, TN",2024-01-13,Nashville,United States,Quality Assurance Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/solution-lead-business-analyst-at-nr-consulting-3762819450,2024-01-21 07:15:01.792524+00,t,t,f,Solution Lead / Business Analyst,NR Consulting,"Boulder, CO",2024-01-14,Longmont,United States,Economist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-at-kforce-inc-3795109205,2024-01-19 09:45:09.215838+00,f,f,f,Business Analyst,Kforce Inc,"Fort Washington, PA",2024-01-16,Norristown,United States,Instructor Business Education,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-iii-information-governance-tech-specialist-at-spectraforce-3765335850,2024-01-20 02:42:21.486416+00,t,t,f,Business Analyst III / Information Governance Tech Specialist,SPECTRAFORCE,"Cupertino, CA",2024-01-16,Hayward,United States,Market-Research Analyst I,Mid senior,Onsite
https://www.linkedin.com/jobs/view/business-analyst-finance-at-kennesaw-state-university-3786446125,2024-01-19 09:45:09.215838+00,f,f,f,"Business Analyst, Finance",Kennesaw State University,"Kennesaw, GA",2024-01-15,Smyrna,United States,Chief Bank Examiner,Mid senior,Onsite
