job_link,job_skills
https://www.linkedin.com/jobs/view/business-analyst-4-lansing-mi-12%2B-months-contract-at-spanco-solutions-3801582777,"SQL Server, Power BI, Business Requirements Gathering, Risk Assessment, Project Management Methodology (PMM), Systems Engineering Methodology (SEM), Test data, Test results, Defect tracking, Problem resolution, RFCs, IT strategic direction/plan, Communication plan, Audit investigation, Security reviews, Disaster recovery planning, Technical leadership, System analysis, System design, System testing, Data communications, Data processing, Application development environments, Objectoriented application design, .Net application development tools, Clientserver environments, ADA compliance, Programming procedures, Oral and written reports, Presentations, Graphs, Charts, Interviews, Systems users, Records, Reports, Correspondence, Technical terminology, Microsoft Dynamics365, Microsoft Power BI, Microsoft DevOps, Microsoft Office products, Application security, Systems development methodology, Bachelor's degree in computer science data processing computer information systems data communication networking systems analysis computer programming information assurance IT project management or mathematics"
https://www.linkedin.com/jobs/view/senior-it-business-analyst-epic-hospital-billing-at-university-hospitals-3776460840,"Application Configuration, Application Support, Business Analysis, Business Workflow Design, Crystal Reports, Data Warehousing, Disaster Recovery, Epic Hospital Billing, HL7 Interfaces, Hospital Revenue Cycle, ITIL Standards, LAN, MS Office, Networking, Patient Scheduling, Project Management, SQL, SSIS, System Integration, Troubleshooting"
https://uk.linkedin.com/jobs/view/business-analyst-crm-billing-at-erin-associates-ltd-3800294868,"Business Analyst, CRM, Billing, Clientfacing, Energy, Dataflows, Supplier Management, Hourly practices, User stories, Agile methodologies, Formal BA methodologies, Half Hourly practices, Smart meter operations, Structured training, Technical knowledge, Career path, Incentive scheme"
https://www.linkedin.com/jobs/view/calypso-business-analyst-at-ceres-group-3581031828,"investment management, proprietary research, equity, fixed income, multiasset, alternative strategies, private partnership, talent attraction, diversity, inclusivity, alternatives systems team, advanced tools, asset allocation, commodities, hedge funds, fixed income, equity, commodity, currency, OTC derivatives, portfolio management, trading, operations, proprietary technology solutions, vendor applications, complex investment decisionmaking, streamline trading, operational risk, efficiency, derivatives platform, business analysis, derivative infrastructure, business problems, technical solutions, IT teams, requirements analysis, design, test, deployment, support, investment industry, systems role, derivatives, client focus, relationship management, quantitative concepts, frontoffice investment processes, business analysis, software requirements gathering, quantitative analysis, equity markets, fixed income markets, derivatives markets, Calypso, Murex, vendor derivatives systems, SQL, relational database technology, written communication, verbal communication, fastpaced environment, missioncritical production environment, CFA charter"
https://www.linkedin.com/jobs/view/calypso-business-analyst-at-ceres-group-3684748060,"Calypso, SQL, Investment Management, Database Technology, Derivatives, Business Analysis, Client Relationship Management, Project Management, Risk Management, Quantitative Analysis, Programming, FrontOffice Investment Processes, Software Requirements Gathering, Equity, Fixed Income, Commodities, Currency OTC Derivatives, Portfolio Management, Trading, Operations"
https://www.linkedin.com/jobs/view/business-analyst-information-technology-project-services-at-state-of-idaho-3801403761,"Project management, Organizational/business analysis and evaluation, Process improvement methodology, Data manipulation processing and extraction, Project Management principles and practices, SQL query authoring and relational databases, BABOK, Business Analyst Body of Knowledge, Business Analyst training, Project charter and plan, Project scope and schedule, Workflows, Roles and contractor needs, Quality assurance functions, Implementation of solutions, Dynamic communication, Initial analysis of business needs, Determination of requirements, Costbenefit analysis, Business requirements documentation, Performance objectives, Project budget, Project schedule, Project scope, Performance targets, Performance issues, Project contracts, Contractor performance, Semester hours of upper division college coursework, Bachelor's degree, Professionallevel evaluative analytical and planning work"
https://www.linkedin.com/jobs/view/business-analyst-information-technology-project-services-at-idaho-department-of-health-and-welfare-3799947949,"Project Management, Business Analysis, Organizational Analysis, Process Improvement, Project Charter, Project Plan, Scope Definition, Schedule Development, Workflow Building, Quality Assurance, Solutions Implementation, Stakeholder Collaboration, Contractor Statement of Work, Budget Tracking, Performance Monitoring, Contract Administration, Data Manipulation, Data Processing, Data Extraction, SQL, Query Authoring, Relational Databases, PMPrinciples, PM Practices, User Stories, Experience Requirements"
https://www.linkedin.com/jobs/view/procurement-business-analyst-at-amcor-3793105133,"Customer Focus, Data Extraction, Data Validation / Clean Up, Data Analytics, Information Systems, Monitoring Measurement and Metrics, Record Retention, Requirements Planning, Software Applications, Strong computer skills, Microsoft Office Suite (PowerPoint Word Access), SAP systems, SAP ECC MII proficiency, Advanced Excel, Power BI, Python, Strong negotiation skills, Cost modeling, Supply chain management, Supplier relationship management (SRM), Pricing and cost analysis, RFQ Benchmarking and negotiation methodologies, Spend analysis, Should Cost Modeling, Six Sigma, Change Management, Project Management, Bachelor's degree in Business Finance Operations Research Data/Decision Sciences Industrial Engineering Supply Chain or Logistics, Master's degree (Desired), Certification(s): C.P.M. CPSM CPSD CPIM CSCP PMP (Preferred), English (written and spoken fluently), Spanish and/or Portuguese (Preferred), 5+ years of demonstrated business analysis and reporting experience in manufacturing focused organizations, Build strong rapport with suppliers, Work closely with buyers and category managers, Collaborate closely with relevant departments"
https://www.linkedin.com/jobs/view/ui-path-business-analyst-at-raisso-3768041951,"UI Path, Business Analyst, Project Manager, SDLC, RPA, PDD, SDD, Test Cases, Test Scenarios, Fluent Communication, Analytical Skills, Project Management, Governance, Risk Management, Deliverables, Project Charter, RACI, RAID Tracker, Scrum, Business Analysis, Jira, ServiceNow"
https://uk.linkedin.com/jobs/view/business-analyst-at-department-for-levelling-up-housing-and-communities-3791467534,"Business Analysis, Stakeholder Management, Decision Making, Product Design, User Research, Delivery Management"
https://uk.linkedin.com/jobs/view/business-analyst-x-2-at-university-of-sussex-3803112029,"Business Analysis, Requirements Gathering, User Stories, Communication Skills, Time Management, Project Management, HR Systems, Process Improvement, Higher Education, IT Systems, Data Management, Digital Transformation, Agile Methodology, Scrum, Jira, Trello, Asana, Microsoft Office Suite, Google Suite, SQL, Python, R"
